Input,Actual Target,Predicted
"Is the following sentence plausible? ""Jonathan Marchessault scored on the power play in the Stanley Cup.""",yes,yes
"Is the following sentence plausible? ""Fred VanVleet scored a freekick in the Champions League Final.""",no,yes
"Is the following sentence plausible? ""Santi Cazorla called for the screen.""",no,yes
"Is the following sentence plausible? ""Edinson Cavani caught the screen pass.""",no,no
"Is the following sentence plausible? ""DJ Chark caught the back shoulder fade in the NFC divisional round.""",yes,no
"Is the following sentence plausible? ""Petr Cech bricked the three pointer.""",no,no
"Is the following sentence plausible? ""Michael Porter Jr. called for the screen.""",yes,yes
"Is the following sentence plausible? ""Robert Lewandowski threw a touchdown.""",no,no
"Is the following sentence plausible? ""Philip Rivers launched a hail mary.""",yes,no
"Is the following sentence plausible? ""Drew Brees went for it on fourth down.""",yes,yes
"Is the following sentence plausible? ""Kevin Durant hit a walkoff homer.""",no,no
"Is the following sentence plausible? ""Santi Cazorla earned a red card in the Champions League Final.""",yes,yes
"Is the following sentence plausible? ""Ryan Tannehill hit a triple.""",no,no
"Is the following sentence plausible? ""Gleyber Torres got a base hit.""",yes,yes
"Is the following sentence plausible? ""Kawhi Leonard took a turnaround jumper.""",yes,yes
"Is the following sentence plausible? ""Brandin Cooks went for it on fourth down.""",yes,no
"Is the following sentence plausible? ""Clint Capela got into the endzone.""",no,yes
"Is the following sentence plausible? ""Javier Zanetti watched the pitch go by in the National League Championship Series.""",no,yes
"Is the following sentence plausible? ""Wayne Rooney threw a touchdown in the Superbowl.""",no,yes
"Is the following sentence plausible? ""Tyler Boyd hit the screen pass in the NFC divisional round.""",yes,no
"Is the following sentence plausible? ""Marouane Fellaini scored in extra time.""",yes,yes
"Is the following sentence plausible? ""Joao Moutinho was out at third.""",no,yes
"Is the following sentence plausible? ""Vincent Kompany comitted a three second violation.""",no,yes
"Is the following sentence plausible? ""Tuukka Rask killed the powerplay.""",yes,yes
"Is the following sentence plausible? ""Juan Soto shot from beyond the arc.""",no,no
"Is the following sentence plausible? ""Jordan Binnington scored in the third period.""",yes,yes
"Is the following sentence plausible? ""Malcolm Brogdon drove into the restricted area in the Eastern Conference Finals.""",yes,no
"Is the following sentence plausible? ""Didier Drogba got into the endzone.""",no,yes
"Is the following sentence plausible? ""Mike Hoffman launched the half court shot in the Western Conference Finals.""",no,no
"Is the following sentence plausible? ""Pedro struck out the side.""",no,no
"Is the following sentence plausible? ""Fernando Tatis Jr. earned a red card.""",no,yes
"Is the following sentence plausible? ""Evander Kane hit the slant pass in the AFC divisional round.""",no,yes
"Is the following sentence plausible? ""Igor Shesterkin launched a hail mary.""",no,no
"Is the following sentence plausible? ""Gerrit Cole committed a handball in the European Cup.""",no,yes
"Is the following sentence plausible? ""Philip Rivers drove into the restricted area.""",no,no
"Is the following sentence plausible? ""Norman Powell committed a blocking foul.""",yes,yes
"Is the following sentence plausible? ""Nazem Kadri was out at home.""",no,no
"Is the following sentence plausible? ""Sterling Shepard converted the first down.""",yes,no
"Is the following sentence plausible? ""Mario Gomez scored a reverse layup.""",no,yes
"Is the following sentence plausible? ""Andres Iniesta performed a give and go.""",yes,yes
"Is the following sentence plausible? ""Drew Brees was flagged on the play.""",yes,yes
"Is the following sentence plausible? ""Ramires scored a header goal.""",yes,yes
"Is the following sentence plausible? ""Luis Robert was out at second.""",yes,no
"Is the following sentence plausible? ""Matthew Stafford launched a hail mary.""",yes,no
"Is the following sentence plausible? ""T.Y. Hilton drew a flag on the play.""",yes,no
"Is the following sentence plausible? ""Courtland Sutton hit a triple.""",no,yes
"Is the following sentence plausible? ""Mark Stone spent time in the penalty box in the Stanley Cup.""",yes,yes
"Is the following sentence plausible? ""Dejounte Murray took a side-step three.""",yes,yes
"Is the following sentence plausible? ""Mike Trout eurostepped to the basket.""",no,no
"Is the following sentence plausible? ""Josh Allen hit the screen pass.""",yes,yes
"Is the following sentence plausible? ""Yaya Toure scored a freekick.""",yes,yes
"Is the following sentence plausible? ""Sean Couturier maradona'd the defender.""",no,no
"Is the following sentence plausible? ""Mitchell Marner nutmegged the defender.""",no,yes
"Is the following sentence plausible? ""Calvin Ridley skated behind the net.""",no,no
"Is the following sentence plausible? ""Walker Buehler earned a trip to the penalty box.""",no,no
"Is the following sentence plausible? ""Carlos Tevez skated backwards.""",no,no
"Is the following sentence plausible? ""Ben Simmons was called for the goal tend.""",yes,no
"Is the following sentence plausible? ""Marvin Jones lost control of the puck.""",no,yes
"Is the following sentence plausible? ""Brad Hand hit the wheel route.""",no,no
"Is the following sentence plausible? ""Aleksander Barkov bricked the three pointer.""",no,no
"Is the following sentence plausible? ""Josh Allen caught the screen pass.""",yes,yes
"Is the following sentence plausible? ""Connor McDavid threw a touchdown in the NFC divisional round.""",no,no
"Is the following sentence plausible? ""Amari Cooper scored a penalty kick.""",no,no
"Is the following sentence plausible? ""Mario Balotelli took a left footed shot in the Champions League Final.""",yes,yes
"Is the following sentence plausible? ""Willian killed the powerplay.""",no,yes
"Is the following sentence plausible? ""Kendrick Nunn took a charge.""",yes,yes
"Is the following sentence plausible? ""Cooper Kupp scored in the third period in the Stanley Cup.""",no,yes
"Is the following sentence plausible? ""Sean Couturier passed the puck in the Stanley Cup.""",yes,yes
"Is the following sentence plausible? ""Sterling Shepard hit a walkoff homer.""",no,no
"Is the following sentence plausible? ""Jesus Luzardo was called for slashing.""",no,no
"Is the following sentence plausible? ""Keenan Allen drew a flag on the play in the NFC championship.""",yes,no
"Is the following sentence plausible? ""Jamal Murray walked on ball four.""",no,no
"Is the following sentence plausible? ""Toni Kroos performed a give and go.""",yes,yes
"Is the following sentence plausible? ""Mitchell Trubisky caught the screen pass.""",yes,yes
"Is the following sentence plausible? ""Sergio Busquets got on base.""",no,yes
"Is the following sentence plausible? ""Domantas Sabonis gained five yards in the AFC championship.""",no,yes
"Is the following sentence plausible? ""De'Aaron Fox scored a bicycle kick.""",no,no
"Is the following sentence plausible? ""James Harden shot from outside the eighteen.""",no,no
"Is the following sentence plausible? ""Patrick Kane backhanded a shot in the Stanley Cup.""",yes,yes
"Is the following sentence plausible? ""Malcolm Brogdon eurostepped to the basket in the NBA Championship.""",yes,no
"Is the following sentence plausible? ""James Karinchak crossed the blue line.""",no,no
"Is the following sentence plausible? ""Joe Burrow gained five yards.""",yes,yes
"Is the following sentence plausible? ""Steven Stamkos hit the slant pass.""",no,yes
"Is the following sentence plausible? ""John Carlson entered the attacking zone in the Stanley Cup.""",yes,no
"Is the following sentence plausible? ""Patrice Bergeron converted the first down.""",no,no
"Is the following sentence plausible? ""Luke Voit was out at first.""",yes,yes
"Is the following sentence plausible? ""Timo Meier nutmegged the defender in the FA Cup.""",no,yes
"Is the following sentence plausible? ""Max Scherzer was safe at first.""",yes,yes
"Is the following sentence plausible? ""Eden Hazard hit the buzzer beater.""",no,no
"Is the following sentence plausible? ""Neal Pionk shot from the six yard line.""",no,yes
"Is the following sentence plausible? ""Nick Castellanos hit the wheel route.""",no,yes
"Is the following sentence plausible? ""Tom Brady was safe at first.""",no,no
"Is the following sentence plausible? ""Sergio Ramos hit nothing but net.""",no,no
"Is the following sentence plausible? ""Khyri Thomas  changed direction in the backfield in the NFC championship.""",no,yes
"Is the following sentence plausible? ""Leon Draisaitl grounded out to second base in the National League Championship Series.""",no,yes
"Is the following sentence plausible? ""Bastian Schweinsteiger scored in added time.""",yes,yes
"Is the following sentence plausible? ""Aaron Nola converted the first down.""",no,no
"Is the following sentence plausible? ""Ketel Marte got into the endzone.""",no,no
"Is the following sentence plausible? ""Travis Konecny did a maradona on the defender.""",no,yes
"Is the following sentence plausible? ""Pierre-Luc Dubois skated backwards.""",yes,no
"Is the following sentence plausible? ""Ryan O'Reilly wristed a shot.""",yes,no
"Is the following sentence plausible? ""Miro Heiskanen earned a trip to the penalty box.""",yes,yes
"Is the following sentence plausible? ""Angel Di Maria scored in extra time.""",yes,yes
"Is the following sentence plausible? ""Sam Darnold scored on the power play in the Stanley Cup.""",no,yes
"Is the following sentence plausible? ""Gleyber Torres scored a bicycle kick.""",no,no
"Is the following sentence plausible? ""Tyler Glasnow scored a penalty kick.""",no,yes
"Is the following sentence plausible? ""DeVante Parker was called for icing.""",no,no
"Is the following sentence plausible? ""Jayson Tatum was called for the goal tend.""",yes,no
"Is the following sentence plausible? ""Carson Wentz caught the screen pass.""",yes,no
"Is the following sentence plausible? ""Bryce Harper fumbled the ball.""",no,yes
"Is the following sentence plausible? ""Keenan Allen beat the buzzer in the Western Conference Finals.""",no,no
"Is the following sentence plausible? ""Marcell Ozuna scored a touchdown.""",no,no
"Is the following sentence plausible? ""Brandon Woodruff set the hard screen in the Eastern Conference Finals.""",no,no
"Is the following sentence plausible? ""Jonas Valanciunas beat the buzzer.""",yes,no
"Is the following sentence plausible? ""Nerlens Noel was out at home.""",no,no
"Is the following sentence plausible? ""Paulinho earned an indirect kick in the FA Cup.""",yes,no
"Is the following sentence plausible? ""Klaas Jan Huntelaar shot the puck.""",no,yes
"Is the following sentence plausible? ""David Pastrnak skated backwards.""",yes,no
"Is the following sentence plausible? ""Joe Burrow caught the back shoulder fade in the Superbowl.""",yes,yes
"Is the following sentence plausible? ""Sergio Aguero maradona'd the defender.""",yes,no
"Is the following sentence plausible? ""Gerrit Cole set the hard screen.""",no,yes
"Is the following sentence plausible? ""CJ McCollum shot from the six yard line.""",no,yes
"Is the following sentence plausible? ""Kyle Tucker took a left footed shot.""",no,yes
"Is the following sentence plausible? ""Jakub Vrana skated backwards.""",yes,yes
"Is the following sentence plausible? ""Deshaun Watson was flagged on the play.""",yes,yes
"Is the following sentence plausible? ""Tyler Glasnow watched the pitch go by.""",yes,no
"Is the following sentence plausible? ""Juan Soto took ball four.""",yes,yes
"Is the following sentence plausible? ""Anthony Davis beat the buzzer.""",yes,no
"Is the following sentence plausible? ""Caris LeVert scored a reverse layup.""",yes,no
"Is the following sentence plausible? ""Andrei Svechnikov took ball four.""",no,yes
"Is the following sentence plausible? ""Trae Young got into the endzone.""",no,yes
"Is the following sentence plausible? ""Nathan MacKinnon bricked the three pointer in the Eastern Conference Finals.""",no,no
"Is the following sentence plausible? ""A.J. Green scored in the third period.""",no,yes
"Is the following sentence plausible? ""Elias Lindholm took the snap.""",no,yes
"Is the following sentence plausible? ""Fred VanVleet passed the puck.""",no,yes
"Is the following sentence plausible? ""Frederik Andersen converted the first down.""",no,no
"Is the following sentence plausible? ""Javier Mascherano took a left footed shot.""",yes,yes
"Is the following sentence plausible? ""Mike Trout hit a walkoff homer.""",yes,yes
"Is the following sentence plausible? ""Pete Alonso hit a triple in the World Series.""",yes,no
"Is the following sentence plausible? ""Anthony Rizzo skated backwards in the Stanley Cup.""",no,no
"Is the following sentence plausible? ""Francisco Lindor walked on ball four.""",yes,yes
"Is the following sentence plausible? ""Klaas Jan Huntelaar scored the easy layup.""",no,yes
"Is the following sentence plausible? ""Stefon Diggs hit the slant pass.""",yes,yes
"Is the following sentence plausible? ""Diego Forlan did a maradona on the defender.""",yes,no
"Is the following sentence plausible? ""George Springer committed a blocking foul.""",no,no
"Is the following sentence plausible? ""Arjen Robben crossed the blue line in the Stanley Cup.""",no,yes
"Is the following sentence plausible? ""Mitchell Robinson airballed the shot.""",yes,no
"Is the following sentence plausible? ""Gabriel Landeskog launched the desperation heave.""",no,yes
"Is the following sentence plausible? ""Vincent Kompany scored a bicycle kick.""",yes,no
"Is the following sentence plausible? ""Mathew Barzal called for the screen.""",no,yes
"Is the following sentence plausible? ""Kailer Yamamoto caught the back shoulder fade.""",no,no
"Is the following sentence plausible? ""Patrice Bergeron took a backhand shot.""",yes,yes
"Is the following sentence plausible? ""Collin Sexton hit the buzzer beater.""",yes,yes
"Is the following sentence plausible? ""Stephan El Shaarawy shot with the left foot.""",yes,yes
"Is the following sentence plausible? ""Nick Foles lost control of the puck.""",no,yes
"Is the following sentence plausible? ""Ryan Nugent-Hopkins killed the powerplay.""",yes,no
"Is the following sentence plausible? ""Kyle Connor eurostepped to the basket in the Western Conference Finals.""",no,no
"Is the following sentence plausible? ""Luka Modric went in studs up in the FA Cup.""",yes,no
"Is the following sentence plausible? ""Dani Alves took the snap.""",no,yes
"Is the following sentence plausible? ""Russell Westbrook scored on the power play.""",no,yes
"Is the following sentence plausible? ""Mark Stone hit a triple.""",no,yes
"Is the following sentence plausible? ""Teuvo Teravainen shot the puck.""",yes,yes
"Is the following sentence plausible? ""John Brown went for it on fourth down in the NFC championship.""",yes,no
"Is the following sentence plausible? ""Kwadwo Asamoah beat the shot clock in the Eastern Conference Finals.""",no,yes
"Is the following sentence plausible? ""Kyle Tucker stepped on first base.""",yes,yes
"Is the following sentence plausible? ""Neymar did a maradona on the defender in the Champions Leage Semifinal.""",yes,yes
"Is the following sentence plausible? ""Mookie Betts took a side-step three.""",no,yes
"Is the following sentence plausible? ""Sonny Gray was out at second.""",yes,no
"Is the following sentence plausible? ""Juan Soto did a double stepover.""",no,yes
"Is the following sentence plausible? ""Juan Mata scored a bicycle kick in the Champions League Final.""",yes,no
"Is the following sentence plausible? ""Dylan Larkin walked on ball four.""",no,no
"Is the following sentence plausible? ""Brandon Lowe took a left footed shot.""",no,yes
"Is the following sentence plausible? ""Caris LeVert scored a reverse dunk.""",yes,yes
"Is the following sentence plausible? ""Emmanuel Sanders got a base hit.""",no,yes
"Is the following sentence plausible? ""Robert Woods killed the powerplay.""",no,no
"Is the following sentence plausible? ""Jonathan Marchessault went five hole.""",yes,no
"Is the following sentence plausible? ""Tristan Jarry dunked the ball.""",no,yes
"Is the following sentence plausible? ""Wayne Rooney watched the pitch go by.""",no,no
"Is the following sentence plausible? ""Michael Thomas took the snap.""",yes,no
"Is the following sentence plausible? ""Deshaun Watson took a corner kick.""",no,yes
"Is the following sentence plausible? ""Mookie Betts scored on the power play.""",no,yes
"Is the following sentence plausible? ""Tuukka Rask hit a double.""",no,yes
"Is the following sentence plausible? ""Toni Kroos took a throw in in the Champions Leage Semifinal.""",yes,no
"Is the following sentence plausible? ""Mike Williams fumbled the ball in the Superbowl.""",yes,yes
"Is the following sentence plausible? ""Allen Robinson gained five yards.""",yes,yes
"Is the following sentence plausible? ""Mario Gomez scored a reverse layup.""",no,yes
"Is the following sentence plausible? ""Juan Mata caught the screen pass.""",no,yes
"Is the following sentence plausible? ""Jamison Crowder drew a flag on the play.""",yes,no
"Is the following sentence plausible? ""Mike Williams scored a bicycle kick in the FA Cup.""",no,yes
"Is the following sentence plausible? ""Petr Cech was safe at first.""",no,yes
"Is the following sentence plausible? ""Jayson Tatum took a side-step three in the NBA Championship.""",yes,no
"Is the following sentence plausible? ""Thomas Muller hit a triple.""",no,yes
"Is the following sentence plausible? ""James Karinchak worked a full count.""",yes,yes
"Is the following sentence plausible? ""Jerry Jeudy killed the powerplay.""",no,no
"Is the following sentence plausible? ""Stephen Curry scored a reverse layup.""",yes,yes
"Is the following sentence plausible? ""Mikal Bridges scored a windmill dunk.""",yes,no
"Is the following sentence plausible? ""Ryan Fitzpatrick scored a touchdown.""",yes,yes
"Is the following sentence plausible? ""Jaylen Brown comitted a three second violation.""",yes,yes
"Is the following sentence plausible? ""Kenta Maeda caught the screen pass.""",no,no
"Is the following sentence plausible? ""Chris Godwin crossed the blue line in the Stanley Cup.""",no,yes
"Is the following sentence plausible? ""Justin Herbert maradona'd the defender.""",no,no
"Is the following sentence plausible? ""Blake Snell hit a single.""",yes,yes
"Is the following sentence plausible? ""Darius Slayton ran out of bounds in the AFC championship.""",yes,no
"Is the following sentence plausible? ""Nicklas Backstrom earned a trip to the penalty box.""",yes,no
"Is the following sentence plausible? ""Pepe converted the first down.""",no,no
"Is the following sentence plausible? ""Kenta Maeda threw to first base in the American League Championship Series.""",yes,no
"Is the following sentence plausible? ""Ryan O'Reilly hit the wheel route.""",no,no
"Is the following sentence plausible? ""Marcell Ozuna hit into a double play.""",yes,yes
